j12,248955.006,745148.652,-26.137,
j13,249110.620,745195.307,-33.505,
j14,249134.944,745237.733,-38.681,
j15,249052.422,745237.699,-42.610,
j16,249039.710,745236.786,-43.797,
t2288,249339.387,745248.866,-50.415,
AAZ-538,249381.320,745236.850,,
J20,249292.769,745246.983,-49.142,
J20.,249291.994,745244.630,-49.338,
J21.,249280.340,745244.036,-49.034,
J22.,249435.331,745245.260,-52.678,
J23.,249435.032,745241.937,-52.660,
2,249470.799,745212.666,-52.722,
1,249465.503,745211.288,-52.689,
4,249479.202,745213.498,-53.055,
46,249461.137,745211.090,-52.700,
45,249464.052,745208.672,-52.674,
69,249466.380,745214.665,-52.732,
J24,249479.125,745213.541,-53.070,
3,249471.113,745201.456,-52.536,
47,249469.310,745199.416,-52.601,
48,249470.976,745199.022,-52.651,
5,249489.771,745200.968,-53.497,
6,249493.943,745186.337,-53.414,
49,249492.686,745185.517,-53.216,
7,249501.704,745185.592,-54.167,
8,249515.386,745170.643,-54.923,
9,249510.261,745167.665,-54.645,
50,249508.785,745168.105,-54.611,
51,249509.760,745166.523,-54.615,
10,249528.316,745155.774,-55.710,
52,249523.946,745152.708,-55.511,
J25,249548.396,745144.051,-57.014,
12,249540.313,745134.974,-56.798,
13,249538.170,745136.667,-56.588,
14,249532.174,745128.884,-56.316,
53,249531.823,745129.235,-56.287,
54,249531.212,745127.902,-56.248,
11,249546.290,745134.678,-57.389,
15,249566.791,745110.924,-59.345,
16,249561.605,745108.767,-59.010,
56,249561.217,745109.488,-58.991,
55,249561.927,745107.508,-59.024,
57,249564.289,745106.013,-59.191,
17,249584.027,745089.748,-60.295,
59,249576.721,745090.913,-59.801,
18,249578.773,745087.240,-59.878,
58,249578.609,745087.127,-59.868,
19,249598.891,745071.588,-60.558,
20,249593.748,745067.095,-60.075,
26,249617.736,745049.120,-61.034,
27,249615.634,745044.748,-60.727,
28,249613.027,745048.260,-59.146,
60,249611.823,745049.195,-59.079,
29,249634.488,745028.967,-61.435,
30,249632.554,745027.558,-61.207,
33,249648.853,745004.270,-61.858,
64,249647.970,745005.370,-61.822,
32,249668.885,744987.049,-63.041,
63,249667.199,744985.204,-62.917,
34,249673.380,744981.644,-63.336,
65,249671.767,744979.728,-63.179,
j26,249703.975,744954.657,-66.213,
j27,249599.657,745082.558,-60.578,
